INFO 2025-03-26 02:25:15,658 autoreload Watching for file changes with StatReloader
INFO 2025-03-26 02:25:17,849 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:17,886 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:17,925 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:17,957 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:17,989 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:18,023 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:18,060 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:18,093 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:18,127 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:18,157 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:18,189 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:18,226 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:18,260 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:18,294 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:18,329 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:18,361 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:18,397 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:18,432 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:18,464 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:18,498 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:19,572 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:19,607 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:19,639 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:19,785 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:19,821 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:19,852 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:19,885 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:19,920 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:19,950 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:25:20,098 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:25:20,131 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
